AIRPORT CODE,NAME,ADDRESS,STATE,STATE REGION,HUB-SHORTEST DISTANCE,DISTANCE,HUB-SHORTEST TRAVEL TIME,TRAVEL TIME
RDM,Redmond Municipal Airport,"2522 SE Jesse, Dana Butler Ct, Redmond, OR 97756",OR,OR,SEA,302,SEA,318
RDU,Raleigh–Durham International Airport,"2400 John Brantley Blvd, Morrisville, NC 27560",NC,NC,ATL,406,ATL,370
RIC,Richmond International Airport,"1 Richard E Byrd Terminal Dr, Richmond, VA 23250",VA,VA,CVG,526,ATL,491
RIV,March Air Reserve Base,"14560 2nd St, March Air Reserve Base, CA 92518",CA,SCA,LAX,79.1,LAX,86
RKS,Rock Springs–Sweetwater County Airport,"Airport Rd, Rock Springs, WY 82901",WY,WY,SLC,198,SLC,183
RNO,Reno–Tahoe International Airport,"2001 E Plumb Ln, Reno, NV 89502",NV,NV-UT,LAX,472,SLC,443
ROA,Roanoke–Blacksburg Regional Airport,"5202 Aviation Dr NW, Roanoke, VA 24012",VA,WV-VA,CVG,379,CVG,380
ROC,Greater Rochester International Airport,"1200 Brooks Ave, Rochester, NY 14624",NY,NNY,DTW,351,DTW,334
RST,Rochester International Airport,"7600 Helgerson Dr SW, Rochester, MN 55901",MN,MN,MSP,86.9,MSP,86
RSW,Southwest Florida International Airport,"11000 Terminal Access Rd, Fort Myers, FL 33913",FL,SFL,ATL,585,ATL,495
SAN,San Diego International Airport,"3225 N Harbor Dr, San Diego, CA 92101",CA,SCA,LAX,125,LAX,124
SAT,San Antonio International Airport,"9800 Airport Blvd, San Antonio, TX 78216",TX,TX,ATL,983,ATL,854
SAV,Savannah/Hilton Head International Airport,"400 Airways Ave, Savannah, GA 31408",GA,GA,ATL,243,ATL,215
SBD,San Bernardino International Airport,"1601 E 3rd St #100, San Bernardino, CA 92408",CA,SCA,LAX,80.5,LAX,90
SBN,South Bend International Airport,"4477 Progress Dr, South Bend, IN 46628",IN,IL-IN-MI,DTW,201,DTW,185
SCE,University Park Airport,"2493 Fox Hill Rd, State College, PA 16803",PA,PA,DTW,381,DTW,362
SDF,Louisville International Airport,"600 Terminal Dr, Louisville, KY 40209",KY,KY-OH,CVG,102,CVG,95
SEA,Seattle–Tacoma International Airport,"17801 International Blvd, Seattle, WA 98158",WA,R-SEA,SEA,1,SEA,1
SFO,San Francisco International Airport,"San Francisco, CA 94128",CA,NCA,LAX,382,LAX,362
SGF,Springfield–Branson National Airport,"2300 N Airport Blvd, Springfield, MO 65802",MO,MO-AR,CVG,575,CVG,513
SGU,St. George Regional Airport,"4550 S Airport Pkwy, St. George, UT 84790",UT,NV-UT,SLC,320,SLC,274
SHV,Shreveport Regional Airport,"5103 Hollywood Ave Suite 300, Shreveport, LA 71109",LA,AR-LA,ATL,609,ATL,538
SJC,San Jose International Airport,"2077 Airport Blvd, San Jose, CA 95110",CA,NCA,LAX,347,LAX,328
SKA,Fairchild Air Force Base,"200 W Castle St, Fairchild AFB, WA 99011",WA,WA,SEA,284,SEA,267
SLC,Salt Lake City International Airport,"776 N Terminal Dr, Salt Lake City, UT 84122",UT,R-SLC,SLC,1,SLC,1
SMF,Sacramento International Airport,"6900 Airport Blvd, Sacramento, CA 95837",CA,NCA,LAX,399,LAX,367
SNA,John Wayne Airport,"18601 Airport Way, Santa Ana, CA 92707",CA,SCA,LAX,41.9,LAX,48
SRQ,Sarasota–Bradenton International Airport,"6000 Airport Cir, Sarasota, FL 34243",FL,SFL,ATL,504,ATL,436
STL,Lambert–St. Louis International Airport,"10701 Lambert International Blvd, St. Louis, MO 63145",MO,MO-AR,CVG,368,CVG,328
SUN,Friedman Memorial Airport,"1616 Airport Cir, Hailey, ID 83333",ID,ID,SLC,284,SLC,263
SVN,Hunter Army Airfield,"525 Leonard Neal Street #6010, Savannah, GA 31409",GA,GA,ATL,248,ATL,221
SWF,Stewart International Airport,"1180 1st St, New Windsor, NY 12553",NY,SNY,DTW,607,DTW,557
SYR,Syracuse Hancock International Airport,"1000 Col Eileen Collins Blvd, Syracuse, NY 13212",NY,NNY,DTW,431,DTW,402
TCL,Tuscaloosa Regional Airport,"7601 R Cardinal Airport Rd, Tuscaloosa, AL 35401",AL,AL,ATL,216,ATL,200
TCM,McChord Field,"McChord AFB, Tacoma, WA 98438",WA,WA,SEA,34.4,SEA,42
TLH,Tallahassee International Airport,"3300 Capital Cir SW, Tallahassee, FL 32310",FL,NFL,ATL,265,ATL,259
TPA,Tampa International Airport,"4100 George J Bean Pkwy, Tampa, FL 33607",FL,SFL,ATL,461,ATL,394
